Participant_id	Gender	Age
1	Woman	29
2	Man	34
3	Man	51
4	Woman	38
5	Man	40
6	Woman	36
7	Woman	24
8	Man	36
9	Woman	41
10	Woman	45
11	Man	30
12	Man	31
13	Woman	52
14	Woman	55
15	Woman	45
16	Woman	22
17	Woman	21
18	Woman	56
19	Man	26
20	Woman	20
21	Man	38
22	Man	37
23	Man	32
24	Man	27
25	Man	33
26	Man	51
27	Woman	35
28	Man	31
29	Woman	28
30	Woman	32
31	Woman	23
32	Man	25
33	Woman	51
34	Woman	44
35	Woman	44
36	Woman	40
37	Woman	21
38	Woman	31
39	Man	25
40	Woman	35
41	Man	24
42	Woman	30
43	Man	38
44	Man	39
45	Woman	22
46	Man	39
47	Man	31
48	Man	25
49	Woman	28
50	Man	44
51	Woman	41
52	Man	22
53	Woman	46
54	Man	26
55	Man	37
56	Man	20
57	Woman	30
58	Man	28
59	Man	37
60	Man	35
61	Woman	42
62	Woman	50
63	Woman	50
64	Woman	37
65	Woman	35
66	Man	20
67	Woman	29
68	Woman	48
69	Woman	29
70	Woman	37
71	Man	46
72	Woman	21
73	Woman	47
74	Woman	36
75	Woman	37
76	Woman	47
77	Man	29
78	Woman	53
79	Woman	42
80	Woman	30
81	Woman	31
82	Man	42
83	Woman	37
84	Woman	22
85	Woman	28
86	Woman	50
87	Man	33
88	Woman	25
89	Woman	35
90	Woman	37
91	Man	54
92	Woman	42
93	Woman	55
94	Man	44
95	Man	33
96	Man	48
97	Woman	37
98	Woman	30
99	Man	38
100	Man	47
101	Man	24
102	Man	42
103	Man	54
104	Woman	42
105	Man	28
106	Woman	48
107	Woman	21
108	Woman	32
109	Man	46
110	Woman	47
111	Man	27
112	Woman	37
113	Man	38
114	Woman	53
115	Man	31
116	Woman	31
117	Man	33
118	Man	17
119	Man	27
120	Man	31
121	Woman	28
122	Woman	33
123	Man	51
124	Man	30
125	Woman	27
126	Woman	40
127	Man	45
128	Woman	44
129	Woman	20
130	Man	31
131	Woman	49
132	Man	24
133	Man	35
134	Man	44
135	Man	54
136	Woman	39
137	Woman	32
138	Man	24
139	Man	36
140	Man	49
141	Woman	41
142	Man	49
143	Man	30
144	Woman	56
145	Woman	23
146	Woman	45
147	Woman	29
148	Woman	34
149	Woman	29
150	Woman	53
151	Woman	55
152	Woman	20
153	Woman	20
154	Woman	57
155	Woman	41
156	Woman	25
157	Woman	27
158	Man	40
159	Woman	22
160	Man	37
161	Man	50
162	Woman	33
163	Man	39
164	Man	43
165	Man	38
166	Woman	32
167	Woman	32
168	Man	33
169	Woman	56
170	Man	24
171	Man	23
172	Woman	36
173	Man	27
174	Woman	22
175	Man	21
176	Woman	30
177	Woman	22
178	Woman	17
179	Man	32
180	Man	22
181	Woman	27
182	Woman	29
183	Man	23
184	Man	43
185	Man	29
186	Woman	32
187	Woman	40
188	Man	28
189	Woman	36
190	Woman	31
191	Woman	58
192	Woman	32
193	Man	39
194	Woman	34
195	Woman	29
196	Woman	37
197	Man	20
198	Woman	20
199	Woman	21
200	Woman	20
201	Man	24
202	Woman	20
203	Woman	22
204	Man	29
205	Woman	21
206	Woman	22
207	Woman	21
208	Woman	20
209	Man	30
210	Woman	26
211	Woman	23
212	Man	49
213	Woman	49
214	Woman	21
